transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,Age_Group,detail_cust_title,rank
11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,114.93,Melania,Ruske,Female,53,1981-12-30,,Retail,Mass Customer,N,No,16.0,44,44,6,2436.69,3,2,2,322,Gold,50,Late Bloomer,6
12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999997,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,47,73,11,2757.7699999999995,2,4,2,242,Silver,50,Loosing Customer,7
13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,903.11,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,72,70,10,5127.43,2,4,4,244,Silver,80,Loosing Customer,7
14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,182.81000000000017,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,45,41,10,4576.02,3,4,4,344,Gold,50,Recent Customer,4
15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,42,112,7,4913.16,1,3,4,134,Bronze,50,Almost Lost Customer,9
16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,1702.5499999999995,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,51,2,6,6234.87,4,2,4,424,Platinum,60,Becoming Loyal,3
18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26,Ephrayim,Beville,Male,89,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,49,211,5,3055.85,1,2,3,123,Bronze,50,Evasive Customer,10
19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.4,Wilhelmina,Gothup,Female,66,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0,60,35,8,4473.32,3,4,4,344,Gold,70,Recent Customer,4
20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,709.34,Tracey,Verdun,Male,62,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,69,44,7,3193.23,3,3,3,333,Gold,70,Potential Customer,5
21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,110.80999999999996,Francesco,Wasson,Male,32,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0,48,55,5,1914.1999999999998,2,2,2,222,Silver,50,High Risk Customer,8
22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.61,Nikola,Jeanon,Male,72,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0,52,184,3,2011.1599999999999,1,1,2,112,Bronze,60,Evasive Customer,10
23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,1544.61,Mada,Martinho,Female,21,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,48,86,8,5347.87,2,4,4,244,Silver,50,Loosing Customer,7
24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,709.34,Winna,Verny,Female,55,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0,36,14,9,6986.24,4,4,4,444,Platinum,40,Platinum Customer,1
25,89,2822,2017-06-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,1305.25,Rebecca,Shaughnessy,Female,83,1981-05-14,Professor,,Mass Customer,N,No,3.0,44,11,9,5473.67,4,4,4,444,Platinum,50,Platinum Customer,1
26,64,2596,2017-01-10,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145.0,872.8900000000001,Lexis,Deason,Female,51,1976-08-20,Assistant Professor,,Affluent Customer,N,Yes,13.0,49,72,5,3854.79,2,2,3,223,Silver,50,High Risk Customer,8
27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,872.8900000000001,Lyle,Eager,Male,2,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0,55,256,4,1424.8200000000002,1,1,1,111,Bronze,60,Lost Customer,11
28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,114.93,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,48,1,8,2868.16,4,4,3,443,Platinum,50,Very Loyal,2
29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,90.09999999999997,Tanya,Boddis,Female,7,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,58,29,5,3153.4799999999996,3,2,3,323,Gold,60,Potential Customer,5
30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,128.45999999999992,Gertie,Chaim,Female,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,48,108,3,348.6199999999999,1,1,1,111,Bronze,50,Lost Customer,11
31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539.0,817.36,Malvin,Burchill,Male,27,1961-08-26,,Property,Mass Customer,N,Yes,15.0,64,62,6,1185.7600000000002,2,2,1,221,Silver,70,High Risk Customer,8
32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,448.68,Cindelyn,Balas,Female,2,1993-01-21,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0,33,68,4,2969.7699999999995,2,1,3,213,Silver,40,High Risk Customer,8
33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,709.34,Nettie,Bulfit,Female,2,1985-04-04,,Manufacturing,Affluent Customer,N,No,17.0,41,24,10,5029.13,3,4,4,344,Gold,50,Recent Customer,4
34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Lilli,Hargey,Female,80,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,63,219,2,214.37,1,1,1,111,Bronze,70,Lost Customer,11
35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998,Laryssa,Maes,Female,21,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0,56,34,6,1251.33,3,2,1,321,Gold,60,Late Bloomer,6
36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,155.6500000000001,Dill,Bampford,Male,47,1959-03-23,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0,67,4,5,2799.7000000000003,4,2,2,422,Platinum,70,Becoming Loyal,3
37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001,Jacenta,Wedlock,Female,78,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,51,161,4,1768.4300000000003,1,1,1,111,Bronze,60,Lost Customer,11
38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,17.869999999999997,Lauren,Adolfson,Male,23,1969-08-03,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0,56,24,7,2509.8,3,3,2,332,Gold,60,Potential Customer,5
39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,1069.5500000000002,Giusto,Torbett,Male,77,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0,29,109,4,2515.6800000000003,1,1,2,112,Bronze,30,Evasive Customer,10
40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998,Lorri,Iston,Female,5,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,33,6,6,2580.59,4,2,2,422,Platinum,40,Becoming Loyal,3
41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,1660.88,Hirsch,Peele,Male,13,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0,48,93,8,4420.450000000001,1,4,4,144,Bronze,50,Almost Lost Customer,9
42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,1408.91,Alberik,Looks,Male,69,1971-07-01,,,High Net Worth,N,Yes,7.0,54,65,5,2666.0600000000004,2,2,2,222,Silver,60,High Risk Customer,8
43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,128.45999999999992,Domini,Ghelerdini,Female,24,1980-07-11,Help Desk Operator,Property,Mass Customer,N,Yes,10.0,45,27,7,1172.1,3,3,1,331,Gold,50,Potential Customer,5
44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,1215.34,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,42,8,9,6182.52,4,4,4,444,Platinum,50,Platinum Customer,1
45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0,1295.43,Teressa,Tague,Female,92,1980-09-26,Marketing Assistant,,Affluent Customer,N,Yes,6.0,45,37,6,6153.0,3,2,4,324,Gold,50,Potential Customer,5
46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,574.6200000000001,Susie,,Female,67,1984-09-12,Account Coordinator,Retail,High Net Worth,N,No,17.0,41,193,4,2338.53,1,1,2,112,Bronze,50,Evasive Customer,10
47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,903.11,Vernor,,Male,0,1996-11-14,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,1.0,29,24,7,2907.28,3,3,3,333,Gold,30,Potential Customer,5
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,502.47,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,56,142,5,2825.0,1,2,2,122,Bronze,60,Evasive Customer,10
49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56,Codie,Arnecke,Male,63,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0,28,61,4,1481.07,2,1,1,211,Bronze,30,Almost Lost Customer,9
50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33,Shaylah,Hatchell,Female,5,1953-10-21,Safety Technician II,Retail,Mass Customer,N,No,20.0,72,59,8,5040.88,2,4,4,244,Silver,80,Loosing Customer,7
51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,445.2099999999999,Trip,Ahmed,Male,94,1967-10-01,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0,58,53,7,5916.21,2,3,4,234,Silver,60,Loosing Customer,7
52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,641.64,Theo,,Female,15,1964-08-14,General Manager,,High Net Worth,N,No,4.0,61,24,5,3721.919999999999,3,2,3,323,Gold,70,Potential Customer,5
53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,91.15,Coop,Skey,Male,29,1954-02-25,Administrative Officer,,Mass Customer,N,Yes,11.0,72,9,6,1766.4800000000002,4,2,1,421,Platinum,80,Becoming Loyal,3
54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,110.80999999999996,Mike,Geggus,Male,12,1998-08-07,Pharmacist,Health,Mass Customer,N,Yes,4.0,27,57,4,2211.5599999999995,2,1,2,212,Silver,30,High Risk Customer,8
55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,72.59999999999997,Britt,Muddimer,Female,2,1985-06-11,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0,40,40,3,673.21,3,1,1,311,Silver,50,Late Bloomer,6
56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,189.28,Lucy,Lackmann,Female,35,1979-04-28,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0,46,46,10,5463.639999999999,2,4,4,244,Silver,50,Loosing Customer,7
57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,641.64,Skipton,Cordie,Male,25,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,38,73,7,5050.259999999999,2,3,4,234,Silver,40,Loosing Customer,7
58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,25.08999999999999,Roi,Ogden,Male,75,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,42,46,3,1463.88,2,1,1,211,Bronze,50,Almost Lost Customer,9
59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,583.2700000000001,Reine,Semken,Female,71,1977-02-18,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,49,0,9,2738.89,4,4,2,442,Platinum,50,Very Loyal,2
61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,4.8,Faythe,Rance,Female,60,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,38,49,7,2784.0,2,3,2,232,Silver,40,Loosing Customer,7
62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26,Robbie,Yakubovics,Female,12,1959-10-12,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0,66,12,7,3263.7000000000003,4,3,3,433,Platinum,70,Very Loyal,2
63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,448.68,Lacee,Roan,Female,32,1986-11-26,,Financial Services,High Net Worth,N,No,6.0,39,13,9,3939.73,4,4,3,443,Platinum,40,Very Loyal,2
65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,133.7800000000002,Willis,Whyler,Male,17,1975-08-15,Computer Systems Analyst IV,,Affluent Customer,N,Yes,16.0,50,10,8,2315.9700000000003,4,4,2,442,Platinum,60,Very Loyal,2
66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,110.56,Ninnette,Pandey,Female,77,1994-09-08,Account Executive,Property,Mass Customer,N,Yes,5.0,31,1,7,4892.17,4,3,4,434,Platinum,40,Very Loyal,2
67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999997,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,47,60,8,4979.94,2,4,4,244,Silver,50,Loosing Customer,7
68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0,451.6500000000001,Janot,McGougan,Female,84,1989-09-27,Nurse,,Affluent Customer,N,Yes,13.0,36,40,4,1583.19,3,1,1,311,Silver,40,Late Bloomer,6
69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,1702.5499999999995,Wendel,Headland,Male,70,1987-04-17,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0,38,67,2,2932.8199999999997,2,1,3,213,Silver,40,High Risk Customer,8
70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,110.80999999999996,Hubie,Leipold,Male,93,1966-08-27,Staff Accountant II,,Mass Customer,N,No,14.0,59,42,5,1679.53,3,2,1,321,Gold,60,Late Bloomer,6
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.4,Chrissie,Bernardini,Female,34,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,45,14,7,5027.37,4,3,4,434,Platinum,50,Very Loyal,2
72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,1660.88,Portia,Thirlwall,Female,96,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0,47,16,5,4311.99,4,2,4,424,Platinum,50,Becoming Loyal,3
73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,15.080000000000004,Humbert,Dikles,Male,38,1968-09-06,Quality Engineer,,Mass Customer,N,No,5.0,57,115,4,2664.7099999999996,1,1,2,112,Bronze,60,Evasive Customer,10
74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,45.96000000000001,Andonis,Cochrane,Male,21,1958-02-21,,Property,Mass Customer,N,No,17.0,68,0,10,6435.1,4,4,4,444,Platinum,70,Platinum Customer,1
75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,771.12,Woody,Dowthwaite,Male,9,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,55,15,9,6736.53,4,4,4,444,Platinum,60,Platinum Customer,1
76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,15.080000000000004,Jarret,,Male,25,1966-02-19,Cost Accountant,Financial Services,Mass Customer,N,Yes,18.0,60,295,3,1982.12,1,1,2,112,Bronze,70,Evasive Customer,10
77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,43.97,Benita,Cuffley,Female,95,1987-11-05,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0,38,74,6,3894.51,2,2,3,223,Silver,40,High Risk Customer,8
78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,139.2299999999999,Cassius,Birchenough,Male,33,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,40,53,9,4002.3199999999997,2,4,3,243,Silver,50,Loosing Customer,7
79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,471.6,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,69,42,7,2587.0099999999998,3,3,2,332,Gold,70,Potential Customer,5
80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,209.84000000000003,Karola,Conneely,Female,99,1962-01-06,Assistant Professor,,Mass Customer,N,No,15.0,64,14,8,3957.41,4,4,3,443,Platinum,70,Very Loyal,2
81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003,Mitchel,Schimek,Male,89,1963-04-18,Clinical Specialist,Health,High Net Worth,N,No,13.0,62,23,9,2956.48,3,4,3,343,Gold,70,Potential Customer,5
82,21,773,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,40670.0,690.49,Robbie,Handaside,Male,77,1985-02-12,,Financial Services,Affluent Customer,N,Yes,20.0,41,72,8,5907.35,2,4,4,244,Silver,50,Loosing Customer,7
83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0,110.56,Alberik,Looks,Male,69,1971-07-01,,,High Net Worth,N,Yes,7.0,54,65,5,2666.0600000000004,2,2,2,222,Silver,60,High Risk Customer,8
84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26,Addy,Moukes,Male,39,1975-04-26,Product Engineer,Manufacturing,Mass Customer,N,No,13.0,50,58,6,1521.43,2,2,1,221,Silver,60,High Risk Customer,8
85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002,Lenci,Soars,Male,40,1956-11-17,Environmental Specialist,,Affluent Customer,N,No,18.0,69,0,9,6874.53,4,4,4,444,Platinum,70,Platinum Customer,1
86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,448.68,Charlena,Muzzi,Female,26,1967-07-18,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0,58,29,6,3793.8100000000004,3,2,3,323,Gold,60,Potential Customer,5
87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455.0,110.80999999999996,Keeley,Hawsby,Female,17,1978-07-07,,Retail,Affluent Customer,N,Yes,16.0,47,14,9,6634.14,4,4,4,444,Platinum,50,Platinum Customer,1
88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,547.28,Christyna,Feldberg,Female,74,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,26,1,9,3474.54,4,4,3,443,Platinum,30,Very Loyal,2
89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,4.8,Annamarie,Bouzan,Female,54,1987-11-01,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0,38,38,8,3092.62,3,4,3,343,Gold,40,Potential Customer,5
90,62,439,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,179.44,Lida,Wych,Female,26,1974-07-08,GIS Technical Architect,,Affluent Customer,N,No,10.0,51,99,6,2750.24,1,2,2,122,Bronze,60,Evasive Customer,10
91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,409.8600000000001,Madelaine,Siegertsz,Female,40,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0,48,40,10,8102.62,3,4,4,344,Gold,50,Recent Customer,4
92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,1612.25,Frances,Mishaw,Female,48,1959-05-23,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0,66,158,5,3865.9700000000003,1,2,3,123,Bronze,70,Evasive Customer,10
93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,144.26,Catherina,Ricca,Female,56,1967-10-01,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,58,2,8,7228.799999999999,4,4,4,444,Platinum,60,Platinum Customer,1
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,110.56,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,72,7,11,3018.09,4,4,3,443,Platinum,80,Very Loyal,2
95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,356.5,Kinsley,Klimus,Male,91,1977-05-13,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,48,72,5,2946.73,2,2,3,223,Silver,50,High Risk Customer,8
96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0,448.68,Emera,Margrem,Female,72,2000-07-30,Staff Accountant III,,Mass Customer,N,Yes,2.0,25,312,2,2040.8700000000001,1,1,2,112,Bronze,30,Evasive Customer,10
